Name,Sales,Date
Zoraida Gertner,1188921,2-3-2020
Marisela Illingworth,1254133,2-3-2020
Dell Luckett,1256017,2-3-2020
Marica Chavous,1319527,2-3-2020
Renate Ruddick,760240,2-3-2020
Williams Leno,586190,2-3-2020
Oren Blye,947715,2-3-2020
Harland Greenspan,923948,2-3-2020
Allyson Ancheta,1069276,2-3-2020
Krishna Shimp,704453,2-3-2020
Krishna Shimp,1191330,2-3-2020
Ivana Murnane,423952,2-3-2020
Lulu Mannino,727421,2-3-2020
Rosette Custer,729109,3-3-2020
Karlene Tuff,684063,3-3-2020
Glady Sugarman,987378,3-3-2020
Arlinda Cogdill,506160,3-3-2020
Gita Westberg,847223,3-3-2020
Lizzette Baumer,1356653,3-3-2020
Ronni Alberson,1106216,3-3-2020
Nisha Bynoe,1177179,3-3-2020
Loida Tartaglia,1286484,3-3-2020
Pearly Arreguin,685586,3-3-2020
Izola Adams,333920,3-3-2020
Brandi Organ,542704,3-3-2020
Agripina Matteo,965056,3-3-2020
Eladia Board,16392,3-3-2020
Olene Reitz,500819,3-3-2020
Lorri Trevizo,1014149,3-3-2020
Glayds Brunt,1024826,3-3-2020
Samella Dively,868364,3-3-2020
Michell Corrigan,914786,3-3-2020
Myrtle Cossey,1361858,3-3-2020
Latina Terry,427042,3-3-2020
Lillian Mumford,782683,3-3-2020
Zenaida Israel,959810,3-3-2020
Ilona Langlois,822327,3-3-2020
Tomeka Matsuda,175790,3-3-2020
Alene Swiger,1468236,4-3-2020
Stormy Edberg,35240,4-3-2020
Farah Munsterman,944354,4-3-2020
Julienne Riesgo,415038,4-3-2020
Millicent Beamon,1004818,4-3-2020
Jerome Leeman,1114202,4-3-2020
Lilia Despres,13205,4-3-2020
Leanna Custis,1337144,4-3-2020
Lupita Brittan,553956,4-3-2020
Elroy Eddings,111034,4-3-2020
Sean Lamberson,718035,4-3-2020
Alayna Eisenbarth,684401,4-3-2020
Roxanna Cheyne,794807,4-3-2020
Ronni Alberson,576474,4-3-2020
Charisse Orman,985319,4-3-2020
Anastacia Groseclose,396871,4-3-2020
Tyron Brackett,1029040,4-3-2020
Harriett Dauenhauer,262255,4-3-2020
Julio Zemlicka,25883,4-3-2020
Noe Lamotte,1282839,4-3-2020
Tonya Gordan,842598,4-3-2020
Hildegarde Rench,1235154,4-3-2020
Geoffrey Jorstad,179604,4-3-2020
Odessa Franz,255266,4-3-2020
Hilaria Ashmore,400284,4-3-2020
Georgine Aigner,936121,4-3-2020
Ozie Simerly,718368,4-3-2020
Leann Bowen,438032,4-3-2020
Harold Oja,493449,4-3-2020
Cassey Brewster,5580,4-3-2020
Rikki Iverson,838765,4-3-2020
Grover Ritchey,107578,4-3-2020
Elissa Sitsler,909096,4-3-2020
Collin Millsap,160107,4-3-2020
Colby Vereen,800456,4-3-2020
Bennie Krom,1331003,4-3-2020
Bettina Panetta,631518,4-3-2020
Ervin Scalia,916408,4-3-2020
Warner Chiarello,1313494,5-3-2020
Kallie Penrod,1111957,5-3-2020
Gerri Charon,1190141,5-3-2020
Danette Dolce,786492,5-3-2020
Roxanna Cheyne,585527,5-3-2020
Shawnna Whitley,1125753,5-3-2020
Dollie Seymour,392953,5-3-2020
Neal Oland,1224023,5-3-2020
Luigi Bevins,876174,5-3-2020
Eleanore Schley,587338,5-3-2020
Emerita Fralick,771891,5-3-2020
Ana Ericson,1041521,5-3-2020
Nickie Shott,202124,5-3-2020
Denice Bustamante,1064696,5-3-2020
Serina Ballantyne,130034,5-3-2020
Tam Pollman,245645,5-3-2020
Valentine Switzer,787345,5-3-2020
Leann Bowen,1014756,5-3-2020
Shanice Carrera,1433513,5-3-2020
Leila Jansky,87342,5-3-2020
Joanie Huckins,1069990,5-3-2020
Suzi Gao,773405,5-3-2020
Donnie Mccrystal,688092,5-3-2020
Lakeesha Ruis,1476682,5-3-2020
Lelia Secord,1148831,5-3-2020
Ryann Muise,670675,5-3-2020
Adrianna Sweetland,1043096,5-3-2020
Alfonso Bedford,1454424,5-3-2020
Charisse Orman,45134,5-3-2020
Susanna Brandes,679102,5-3-2020
Lillian Mumford,566860,5-3-2020
Ilona Langlois,347141,5-3-2020
Cherri Hayden,15410,6-3-2020
Victor Roselli,1052647,6-3-2020
Lorilee Crosland,830264,6-3-2020
Sean Lamberson,1306899,6-3-2020
Aline Wirth,1268949,6-3-2020
Darnell Rich,1316085,6-3-2020
Clarice Barrentine,1483253,6-3-2020
Octavia Gitlin,134450,6-3-2020
Ranee Gulino,1058161,6-3-2020
Serita Pederson,79169,6-3-2020
Bennie Frei,1067349,6-3-2020
Shae Buggs,1122700,6-3-2020
Alison Cordell,390451,6-3-2020
Guadalupe Marone,52257,6-3-2020
Young Kensey,563659,6-3-2020
Ardath Albro,860949,6-3-2020
Lizzette Baumer,1371160,6-3-2020
Sara Dillahunty,1322423,6-3-2020
Adeline Mey,89675,6-3-2020
Phyliss Foxwell,505672,6-3-2020
Sherrell Blann,181317,6-3-2020
Neal Oland,1117682,6-3-2020
Leland Kubota,578096,6-3-2020
Giuseppe Deville,297776,6-3-2020
Shae Buggs,1227643,6-3-2020
Tonja Pierpont,1374134,6-3-2020
Josiah Motta,1087067,6-3-2020
Izola Adams,1325247,6-3-2020
Brianne Chaparro,37809,6-3-2020
Lawana Styers,1327039,6-3-2020
Leanna Custis,991838,6-3-2020
Palma Strasser,40389,6-3-2020
Korey Mickelsen,1126880,6-3-2020
Bettina Panetta,675539,6-3-2020
Mirtha Shrout,708213,6-3-2020
Leo Torrain,1115163,6-3-2020
Elza Tews,360852,7-3-2020
Dustin Coyne,62639,7-3-2020
Zachary Novello,64124,7-3-2020
Geri Guan,558874,7-3-2020
Hyacinth Guiney,1221675,7-3-2020
Tonya Gordan,422497,7-3-2020
Lillian Mumford,332813,7-3-2020
Parker Gebhart,1366859,7-3-2020
Allene Hone,235239,7-3-2020
Lois Meadors,357101,7-3-2020
Deonna Byham,1429187,7-3-2020
Dudley Naab,1108160,7-3-2020
Karena Paiva,571648,7-3-2020
Luise Current,282435,7-3-2020
Mirtha Shrout,547610,7-3-2020
Christen Mcchesney,842424,7-3-2020
Inga Bove,793381,7-3-2020
Leeanna Link,1437569,7-3-2020
Madalyn Unsworth,1392015,7-3-2020
Nickole Vieira,492082,7-3-2020
Les Mcclellan,776773,7-3-2020
Julie Giesen,1260142,7-3-2020
Leeanna Link,1360609,7-3-2020
Joelle Feldman,443795,7-3-2020
Kendal Westerfield,1491549,7-3-2020
Kallie Penrod,465374,7-3-2020
Tonja Pierpont,146748,7-3-2020
Wendolyn Fessenden,465356,7-3-2020
Clarice Barrentine,653703,7-3-2020
Zandra Feather,1361001,7-3-2020
Dudley Naab,218737,8-3-2020
Joelle Feldman,368911,8-3-2020
Opal Recker,466797,8-3-2020
Lynetta Lupi,1043589,8-3-2020
Fabian Gamez,683285,8-3-2020
Estella Reinert,1268417,8-3-2020
Nerissa Vanatta,230663,8-3-2020
Geri Guan,1276424,8-3-2020
Mirtha Shrout,1210571,8-3-2020
Tomeka Matsuda,1248128,8-3-2020
Tam Pollman,841259,8-3-2020
Kacy Warren,24926,8-3-2020
Lorilee Crosland,317539,8-3-2020
Hilaria Ashmore,1450272,8-3-2020
Carmine Hamburg,1418186,8-3-2020
Bennie Krom,765277,8-3-2020
Rufina Fawcett,1282105,8-3-2020
Lady Kron,835492,8-3-2020
Leila Jansky,811392,8-3-2020
Sharell Hooten,1334038,8-3-2020
Shayla Jacobi,1427017,8-3-2020
Bennie Frei,254986,8-3-2020
Odessa Franz,1036905,8-3-2020
Lizzie Haggins,388143,8-3-2020
Palma Strasser,292817,8-3-2020
Isiah Delaughter,452696,8-3-2020
Luise Eccles,1388005,8-3-2020
Buford Truss,632802,8-3-2020
Anderson Ojeda,434823,8-3-2020
Ayako Frick,200780,8-3-2020
Cherri Hayden,359241,8-3-2020
Bettina Panetta,299535,8-3-2020
Lois Meadors,100618,8-3-2020
Lanette Buckingham,1160973,8-3-2020
Dave Dressler,661292,9-3-2020
Jestine Flett,953924,9-3-2020
Dustin Coyne,151782,9-3-2020
Lucrecia Sutera,303991,9-3-2020
Shae Buggs,246606,9-3-2020
Eugena Trojanowski,432613,9-3-2020
Earnest Carson,953312,9-3-2020
Aline Wirth,1222610,9-3-2020
Julie Giesen,1480067,9-3-2020
Renate Ruddick,1164754,9-3-2020
Ryann Muise,730742,9-3-2020
Dudley Naab,492550,9-3-2020
Tonja Pierpont,484070,9-3-2020
Roy Dejong,775188,9-3-2020
Julio Zemlicka,1110822,9-3-2020
Serina Ballantyne,488971,9-3-2020
Aline Wirth,509312,9-3-2020
Genoveva Even,1227418,9-3-2020
Mee Riggleman,585077,9-3-2020
Rikki Iverson,1276621,9-3-2020
Celia Banning,531254,9-3-2020
Elza Tews,199906,10-3-2020
Sean Lamberson,234062,10-3-2020
Criselda Dublin,1335248,10-3-2020
Susanna Brandes,589068,10-3-2020
Shae Buggs,154143,10-3-2020
Erma Gerken,1258429,10-3-2020
Mabelle Lafleur,49022,10-3-2020
Melody Bouffard,998079,10-3-2020
Joanie Huckins,811447,10-3-2020
Clorinda Cayetano,407955,10-3-2020
Georgianna Calloway,1003835,10-3-2020
Vincenzo Cobos,769073,10-3-2020
Alejandrina Mandelbaum,1230713,10-3-2020
Vina Gascon,325566,10-3-2020
Jacquie Emrich,142638,10-3-2020
Venetta Schurman,1172676,10-3-2020
Neal Oland,450375,10-3-2020
Kenia Lozoya,1475246,10-3-2020
Chase Coolidge,402653,10-3-2020
Layla Lando,703377,10-3-2020
Brendan Acton,307998,10-3-2020
Karena Paiva,318285,10-3-2020
Jacob Pitcock,422850,10-3-2020
Felicitas Pine,1176428,11-3-2020
Bryon Smail,331767,11-3-2020
Kenia Lozoya,198185,11-3-2020
Kathrin Fuller,1295993,11-3-2020
Breanne Prentiss,434664,11-3-2020
Latina Terry,1492298,11-3-2020
Sharika Schuler,763133,11-3-2020
Jerrod Lemonds,1216661,11-3-2020
Rima Glaspie,924937,11-3-2020
Jane Carlton,377712,11-3-2020
Tamara Marcinek,610685,11-3-2020
Sara Dillahunty,258353,11-3-2020
Amy Shockley,991280,11-3-2020
Asuncion Herbst,833066,11-3-2020
Agripina Matteo,695463,11-3-2020
Chastity Brugger,452400,11-3-2020
Yasmine Costello,1489679,11-3-2020
Benedict Blumberg,855446,11-3-2020
Rikki Iverson,190564,11-3-2020
Angela Strawbridge,1103749,11-3-2020
Emelia Anders,1308646,11-3-2020
Dede Shiflett,1118472,11-3-2020
Cami Kosinski,1464175,11-3-2020
Lanell Rodgers,1368527,11-3-2020
Jere Rascoe,1355312,11-3-2020
Cori Raub,1113530,12-3-2020
Chet Pitts,422634,12-3-2020
Kit Nogle,678446,12-3-2020
Patti Boeke,195134,12-3-2020
Toni Mullen,474877,12-3-2020
Les Mcclellan,1006160,12-3-2020
Aline Wirth,513261,12-3-2020
Cori Raub,1133630,12-3-2020
Margene Collin,665043,12-3-2020
Paulina Kaufmann,1065353,12-3-2020
Roy Dejong,836650,12-3-2020
Kami Storms,30521,12-3-2020
Melody Bouffard,48498,12-3-2020
Alda Marciniak,1336930,12-3-2020
Kiersten Mannion,723766,12-3-2020
Susannah Watkin,1222012,12-3-2020
Corinne Wingerter,711920,12-3-2020
Yuri Beltran,470229,12-3-2020
Tora Theodore,1344411,12-3-2020
Naida Ostby,480884,12-3-2020
Morgan Caylor,420088,12-3-2020
Jung Alva,764626,12-3-2020
Esmeralda Freeborn,248179,12-3-2020
Loida Tartaglia,1210675,12-3-2020
Lyman Mcgarry,236802,12-3-2020
Bobbye Mccraney,185660,12-3-2020
Emerita Fralick,667437,12-3-2020
Giuseppe Deville,1265233,13-3-2020
Sean Heckman,459636,13-3-2020
Taina Keifer,477943,13-3-2020
Clarice Barrentine,898219,13-3-2020
Valentine Switzer,716330,13-3-2020
Cindi Gibbon,845411,13-3-2020
Mindy Hehn,327828,13-3-2020
Brianne Chaparro,653710,13-3-2020
Emelia Anders,1051251,13-3-2020
Dewey Zalewski,1306132,13-3-2020
Alayna Eisenbarth,1121828,13-3-2020
Dudley Naab,599209,13-3-2020
Wilber Simmer,1312259,13-3-2020
Linnea Molton,914870,13-3-2020
Sharell Hooten,914130,13-3-2020
Olene Reitz,1274251,13-3-2020
Layla Lando,81298,13-3-2020
Monique Valtierra,1115637,13-3-2020
Patti Boeke,512981,13-3-2020
Titus Burling,122653,13-3-2020
Cyrstal Dempsey,1251619,13-3-2020
Josiah Motta,1081505,13-3-2020
Shanta Ramerez,404164,13-3-2020
Stuart Gabor,499263,13-3-2020
Audria Irizarry,1178068,13-3-2020
Grover Ritchey,1053687,13-3-2020
Ronni Alberson,834433,13-3-2020
Divina Nix,1148287,13-3-2020
Brunilda Ehrhardt,727956,13-3-2020
Kenia Lozoya,668288,13-3-2020
Juliann Levi,777915,13-3-2020
Lyman Ravenscroft,71707,13-3-2020
Bennie Frei,214061,13-3-2020
Glayds Brunt,252809,13-3-2020
Dorian Fenstermacher,191783,13-3-2020
Opal Recker,986858,13-3-2020
Agripina Matteo,192539,13-3-2020
Georgiann Matney,869978,14-3-2020
Johanna Hilbert,1034245,14-3-2020
Celeste Pricer,721582,14-3-2020
Flor Fairchild,482884,14-3-2020
Bettina Panetta,1029454,14-3-2020
Colby Vereen,338421,14-3-2020
Tonja Pierpont,623645,14-3-2020
Corinne Wingerter,695308,14-3-2020
Neal Oland,699752,14-3-2020
Bettina Panetta,1290459,14-3-2020
Thomasina Betances,890324,14-3-2020
Hosea Cybart,531347,14-3-2020
Ilona Langlois,1004225,14-3-2020
Lyman Mcgarry,1304244,14-3-2020
Cherri Hayden,5606,14-3-2020
Samantha Atilano,370565,14-3-2020
Wan Chappell,679796,14-3-2020
Lela Anding,1429950,14-3-2020
Larraine Gobeil,1252450,14-3-2020
Terina Lopinto,63432,14-3-2020
Crissy Windsor,855032,14-3-2020
Adriene Gauldin,1361460,14-3-2020
Tilda Alarcon,791476,14-3-2020
Angelic Flury,278872,14-3-2020
Morgan Caylor,1336190,14-3-2020
Ana Ericson,47260,14-3-2020
Calandra Brickner,1219666,14-3-2020
Emelia Anders,942080,14-3-2020
Leeanna Link,737316,14-3-2020
Lorna Kliebert,1414921,14-3-2020
Denisha Ogden,479149,14-3-2020
Lorie Blount,349560,15-3-2020
Letitia Gan,59730,15-3-2020
Rikki Iverson,1006346,15-3-2020
Lavette Duggan,579024,15-3-2020
Emelia Anders,799558,15-3-2020
Hyacinth Guiney,201839,15-3-2020
Leanna Custis,1099648,15-3-2020
Gita Westberg,1149822,15-3-2020
Marica Chavous,1250427,15-3-2020
Millicent Beamon,1463492,15-3-2020
Aundrea Bakker,961569,15-3-2020
Lynetta Lupi,537414,15-3-2020
Leila Jansky,115814,15-3-2020
Monique Valtierra,853305,15-3-2020
Les Mcclellan,1301205,15-3-2020
Karena Paiva,391061,15-3-2020
Leonore Degreenia,862977,15-3-2020
Loida Tartaglia,234672,15-3-2020
Mica Coburn,47802,15-3-2020
Romelia Armbruster,156224,15-3-2020
Lauren Stephenson,1336577,15-3-2020
Isiah Delaughter,637848,15-3-2020
Emerita Fralick,665719,15-3-2020
Hoyt Saner,429181,15-3-2020
Samella Dively,99709,15-3-2020
Shayla Jacobi,531479,15-3-2020
Crista Gump,1029175,16-3-2020
Ria Lightbody,408644,16-3-2020
Leila Jansky,1383617,16-3-2020
Loan Puryear,1291337,16-3-2020
Victor Roselli,161956,16-3-2020
Kiley Stancill,1264270,16-3-2020
Palma Strasser,275972,16-3-2020
Genoveva Even,610361,16-3-2020
Wendell Ginsburg,329964,16-3-2020
Kiersten Mannion,386535,16-3-2020
Krishna Shimp,367078,16-3-2020
Alayna Eisenbarth,794011,16-3-2020
Kami Storms,667791,16-3-2020
Clorinda Cayetano,362901,16-3-2020
Ayako Frick,932938,16-3-2020
Ardath Albro,45498,16-3-2020
Chastity Brugger,1304420,16-3-2020
Leann Bowen,254257,16-3-2020
Lorie Blount,1286645,16-3-2020
Sydney Baskerville,350178,16-3-2020
Delphine Teague,946405,16-3-2020
Roy Dejong,568385,16-3-2020
Corine Shepherd,264617,16-3-2020
Madie Nevels,951478,16-3-2020
Lorri Trevizo,171489,16-3-2020
Enda Mascorro,870837,16-3-2020
Elbert Setliff,1062528,16-3-2020
Alayna Eisenbarth,379746,16-3-2020
Eugena Trojanowski,227649,17-3-2020
Joelle Feldman,711038,17-3-2020
Jacquie Emrich,262219,17-3-2020
Harland Greenspan,360556,17-3-2020
Sherrell Blann,414295,17-3-2020
Berry Right,379339,17-3-2020
Dorla Harbert,9711,17-3-2020
Romelia Armbruster,1414677,17-3-2020
Agripina Matteo,596205,17-3-2020
Evelyn Bonneau,1459666,17-3-2020
Johanna Hilbert,977963,17-3-2020
Brunilda Ehrhardt,40937,17-3-2020
Karena Paiva,825144,17-3-2020
Kami Storms,925350,17-3-2020
Delicia Symes,1204662,17-3-2020
Dollie Seymour,525857,17-3-2020
Brendan Acton,282051,17-3-2020
Gerri Charon,570066,17-3-2020
Kendal Westerfield,1233609,17-3-2020
Ervin Scalia,740291,17-3-2020
Denisha Ogden,1142612,17-3-2020
Patty Minardi,160536,17-3-2020
Wilber Simmer,405127,17-3-2020
Dede Shiflett,1192806,17-3-2020
Eleanore Schley,426575,17-3-2020
Birdie Fleischman,494412,17-3-2020
Harriett Dauenhauer,315051,17-3-2020
Celestina Dartez,1473176,17-3-2020
Erin Mcmurtrie,334934,17-3-2020
Virgie Gibb,713933,17-3-2020
Jeanmarie Drown,764943,17-3-2020
Gregorio Carwile,1091796,17-3-2020
Williams Leno,1340871,17-3-2020
Lisa Klingbeil,120957,18-3-2020
Marianela Henline,434740,18-3-2020
Yoshie Kies,1115730,18-3-2020
Crissy Windsor,756147,18-3-2020
Latisha Swink,12560,18-3-2020
Bobbye Mccraney,412834,18-3-2020
Linnea Molton,426533,18-3-2020
Celeste Pricer,1399363,18-3-2020
Glayds Brunt,1147383,18-3-2020
Tomika Hedberg,414893,18-3-2020
Kenia Favela,752856,18-3-2020
Maddie Fleener,180354,18-3-2020
Olene Reitz,829500,18-3-2020
Earnest Carson,343263,18-3-2020
Chastity Brugger,830952,18-3-2020
Les Mcclellan,503032,18-3-2020
Brendan Acton,142478,18-3-2020
Calandra Brickner,1118239,18-3-2020
Joelle Feldman,1350981,18-3-2020
Harriett Dauenhauer,993214,18-3-2020
Hugo Nardone,720437,18-3-2020
Lizzette Baumer,778572,18-3-2020
Tam Pollman,137226,18-3-2020
Harriett Dauenhauer,483993,18-3-2020
Lynetta Lupi,553424,18-3-2020
Sue Raffa,796361,18-3-2020
Josiah Motta,736610,18-3-2020
Cara Witherow,244792,18-3-2020
Madalyn Unsworth,58422,18-3-2020
Esmeralda Freeborn,1159793,18-3-2020
Aundrea Bakker,291501,18-3-2020
Dortha Kuntz,195754,18-3-2020
Lucrecia Sutera,206036,18-3-2020
Opal Recker,286358,18-3-2020
Leanne Rowles,463310,18-3-2020
Dorene Tarry,781789,19-3-2020
Moshe Filice,218438,19-3-2020
Sara Dillahunty,810282,19-3-2020
Sarai Yoo,13536,19-3-2020
Tyisha Ahumada,220759,19-3-2020
Carmine Hamburg,360432,19-3-2020
Brianne Chaparro,165886,19-3-2020
Keiko Krahn,866221,19-3-2020
Luise Eccles,48788,19-3-2020
Elvie Plumber,450669,19-3-2020
Alayna Eisenbarth,1379856,19-3-2020
Erica Packett,641468,19-3-2020
Marianela Henline,1442771,19-3-2020
Leeanna Link,513466,19-3-2020
Estella Reinert,1148869,19-3-2020
Leann Bowen,502075,19-3-2020
Sharika Schuler,1442056,19-3-2020
Berry Right,1448239,19-3-2020
Frankie Argento,266732,19-3-2020
Rossana Hellums,37297,19-3-2020
Dustin Coyne,1129061,19-3-2020
Franklin Ricciardi,32575,19-3-2020
Melaine Steverson,1021571,19-3-2020
Hyacinth Guiney,302616,19-3-2020
Teresita Prouty,594102,19-3-2020
Emerita Fralick,924545,19-3-2020
Samatha Lair,1325244,19-3-2020
Jude Bourland,1052618,19-3-2020
Ayako Frick,283799,20-3-2020
Cyrstal Dempsey,342764,20-3-2020
Adeline Mey,827781,20-3-2020
Bobbye Mccraney,503879,20-3-2020
Lady Kron,394533,20-3-2020
Arlinda Cogdill,250957,20-3-2020
Jacob Pitcock,1401587,20-3-2020
Charisse Orman,1038880,20-3-2020
Korey Mickelsen,773119,20-3-2020
Anamaria Loos,576335,20-3-2020
Benedict Blumberg,337390,20-3-2020
Adeline Mey,187036,20-3-2020
Dortha Kuntz,601585,20-3-2020
Lyman Mcgarry,1159934,20-3-2020
Lashawna Granata,870778,20-3-2020
Audria Irizarry,1447422,20-3-2020
Alisia Hogue,829841,20-3-2020
Shanta Ramerez,1484995,20-3-2020
Veronica Hertzler,1034642,20-3-2020
Noemi Mcabee,379888,20-3-2020
Rocco Prichard,533582,20-3-2020
Luigi Bevins,915550,20-3-2020
Dagmar Devens,116950,20-3-2020
Martha Stiverson,530620,20-3-2020
Moshe Filice,850168,20-3-2020
Julienne Riesgo,571575,20-3-2020
Sydney Baskerville,167322,20-3-2020
Keitha Singleterry,342752,21-3-2020
Jeramy Hagwood,1095376,21-3-2020
Latina Terry,1430934,21-3-2020
Ivonne Yeoman,980615,21-3-2020
Rosetta Lorenzen,1056861,21-3-2020
Yuri Beltran,1484254,21-3-2020
Del Najar,983044,21-3-2020
Tam Pollman,1385909,21-3-2020
Lois Meadors,1095353,21-3-2020
Dorcas Oakley,352496,21-3-2020
Ria Lightbody,753870,21-3-2020
Crista Gump,1296887,21-3-2020
Mabelle Lafleur,786494,21-3-2020
Josefina Schranz,525244,21-3-2020
Erma Gerken,116207,21-3-2020
Jerlene Wasson,578750,21-3-2020
Buford Truss,592993,21-3-2020
Enda Mascorro,772196,21-3-2020
Muoi Schendel,167806,21-3-2020
Julienne Riesgo,1450706,21-3-2020
Jeramy Hagwood,31188,21-3-2020
Sachiko Sommerville,595840,21-3-2020
Noe Lamotte,1322079,21-3-2020
Mirtha Shrout,1114750,21-3-2020
Tomeka Matsuda,1152032,21-3-2020
Yoshie Kies,1393238,21-3-2020
Wynona Palmieri,1470641,21-3-2020
Tomika Hedberg,390960,21-3-2020
Winnifred Strebel,1157323,21-3-2020
Denice Bustamante,357574,22-3-2020
Gerri Charon,506779,22-3-2020
Jung Alva,60156,22-3-2020
Birdie Fleischman,386755,22-3-2020
Karena Paiva,1219680,22-3-2020
Lizzette Baumer,304671,22-3-2020
Dave Dressler,1204075,22-3-2020
Phyliss Foxwell,962217,22-3-2020
Sharell Hooten,244579,22-3-2020
Lizzie Haggins,1172827,22-3-2020
Brendan Acton,601991,22-3-2020
Shanta Ramerez,390099,22-3-2020
Margene Walden,415535,22-3-2020
Ileen Rezentes,1251314,22-3-2020
Hugo Nardone,523873,22-3-2020
Latisha Swink,1393001,22-3-2020
Loan Puryear,58916,22-3-2020
Roxie Broady,1411107,22-3-2020
Margene Walden,271559,22-3-2020
Rosette Hackler,590031,22-3-2020
Enrique Whitmer,1483416,22-3-2020
Layla Brothers,951918,22-3-2020
Gregorio Carwile,1259204,22-3-2020
Kia Ureno,654870,22-3-2020
Juliann Levi,738302,22-3-2020
Shira Lemelin,1292470,22-3-2020
Renaldo Hiett,886514,22-3-2020
Vincenzo Cobos,453790,22-3-2020
Milo Northcutt,242673,23-3-2020
Joey Guerra,891646,23-3-2020
Eleanore Schley,354627,23-3-2020
Dewey Zalewski,70794,23-3-2020
Tyisha Ahumada,690549,23-3-2020
Hester Mazzariello,320087,23-3-2020
Hoyt Saner,1425951,23-3-2020
Jeramy Hagwood,396734,23-3-2020
Ashton Lacombe,1232922,23-3-2020
Denisha Ogden,719257,23-3-2020
Ruthie Poe,1314742,23-3-2020
Rochelle Patnode,57197,23-3-2020
Glynis Kunz,1319449,23-3-2020
Shira Lemelin,1183187,23-3-2020
Charisse Orman,487796,23-3-2020
Ernesto Cullison,345821,23-3-2020
Shanice Carrera,652274,23-3-2020
Alisia Hogue,1263610,23-3-2020
Celestina Dartez,944943,23-3-2020
Vallie Bakke,960991,23-3-2020
Lyman Mcgarry,30178,23-3-2020
Ardis Wille,943238,23-3-2020
Michell Corrigan,639168,23-3-2020
Toni Mullen,832768,23-3-2020
Neal Oland,603445,23-3-2020
Neda Parise,576142,23-3-2020
Kia Ureno,1343202,23-3-2020
Lucrecia Sutera,997593,23-3-2020
Rocky Larocque,215553,24-3-2020
Samella Dively,1411514,24-3-2020
Rocco Prichard,1479861,24-3-2020
Jerlene Wasson,1453022,24-3-2020
Dustin Coyne,1416303,24-3-2020
Bryon Smail,659961,24-3-2020
Brianna Navas,1208763,24-3-2020
Wendell Ginsburg,1084718,24-3-2020
Adriene Gauldin,1177531,24-3-2020
Jeramy Hagwood,631157,24-3-2020
Odessa Meaney,1229162,24-3-2020
Earnest Carson,636017,24-3-2020
Toni Mullen,1171764,24-3-2020
Lakita Hakes,416610,24-3-2020
Pinkie Bufford,936743,24-3-2020
Shantelle Mcgrane,927155,24-3-2020
Aundrea Bakker,737042,24-3-2020
Latisha Swink,91980,24-3-2020
Rosette Custer,1209769,24-3-2020
Jaqueline Almquist,638108,24-3-2020
Earnest Carson,1187836,24-3-2020
Kami Saliba,376252,24-3-2020
Liane Hankinson,368600,24-3-2020
Morgan Caylor,1283118,24-3-2020
Buford Truss,1245474,24-3-2020
Rick Keffer,1179605,24-3-2020
Charmain Puthoff,252785,24-3-2020
Lynetta Lupi,201898,24-3-2020
Sharell Hooten,507465,24-3-2020
Taina Keifer,1108035,24-3-2020
Clarice Barrentine,749926,25-3-2020
Emerita Fralick,764180,25-3-2020
Danette Dolce,469927,25-3-2020
Belen Ruggiero,1212497,25-3-2020
Erica Packett,1052543,25-3-2020
Chastity Immel,495330,25-3-2020
Young Kensey,367789,25-3-2020
Noemi Mcabee,1083429,25-3-2020
Lillian Mumford,1381446,25-3-2020
Muoi Schendel,242549,25-3-2020
Amy Shockley,106881,25-3-2020
Vallie Bakke,752787,25-3-2020
Brunilda Ehrhardt,233559,25-3-2020
Nestor Lundell,752824,25-3-2020
Victor Roselli,1198364,25-3-2020
Sue Raffa,137638,25-3-2020
Glynis Kunz,848670,25-3-2020
Kenia Favela,329825,25-3-2020
Ashton Lacombe,902642,25-3-2020
Noemi Mcabee,661009,25-3-2020
Ozie Simerly,1243611,25-3-2020
Charmain Puthoff,1327163,25-3-2020
Dale Dysart,767723,25-3-2020
Antony Fett,245502,25-3-2020
Roger Schisler,270762,25-3-2020
Lucrecia Sutera,889070,25-3-2020
Felicitas Pine,273521,25-3-2020
Miyoko Pilot,486575,25-3-2020
Izola Adams,1130100,26-3-2020
Keitha Singleterry,577101,26-3-2020
Clayton Chapel,1232122,26-3-2020
Krishna Shimp,963206,26-3-2020
Mee Riggleman,994753,26-3-2020
Brendan Acton,235385,26-3-2020
Lupita Brittan,771962,26-3-2020
Emerita Fralick,1187838,26-3-2020
Kacy Warren,366268,26-3-2020
Nanci Walburn,70414,26-3-2020
Leticia Michelsen,1205425,26-3-2020
Danyel Ervin,734891,26-3-2020
Belva Antos,267573,26-3-2020
Del Najar,532987,26-3-2020
Buster Keppler,873504,26-3-2020
Zenaida Israel,736808,26-3-2020
Lorna Kliebert,1460550,26-3-2020
Glayds Brunt,1136553,26-3-2020
Bambi Wynne,1315765,26-3-2020
Jung Irion,468094,26-3-2020
Lela Anding,447380,26-3-2020
Rosette Hackler,399672,26-3-2020
Ria Lightbody,443108,26-3-2020
Loan Puryear,64415,26-3-2020
Belen Ruggiero,1094500,26-3-2020
Clayton Chapel,940837,27-3-2020
Lavern Malone,1184578,27-3-2020
Sean Lamberson,1020280,27-3-2020
Serina Ballantyne,1157352,27-3-2020
Bettina Panetta,821168,27-3-2020
Lisa Klingbeil,1082194,27-3-2020
